Item,Plausibility,Voice,m,stdev
265,plausible,passive,3,2.8284271247461903
271,plausible,active,6,0
271,plausible,passive,6,NA
285,implausible,active,1,NA
285,implausible,passive,1,NA
285,plausible,active,7,NA
285,plausible,passive,7,NA
289,implausible,active,1,NA
289,implausible,passive,1,NA
289,plausible,active,2,NA
291,implausible,passive,1,NA
291,plausible,active,7,NA
291,plausible,passive,7,NA
293,implausible,active,1,NA
293,implausible,passive,2,NA
293,plausible,active,7,NA
293,plausible,passive,1,NA
297,implausible,active,1,NA
297,implausible,passive,1,NA
297,plausible,passive,7,NA
301,implausible,active,1,NA
301,implausible,passive,1,NA
301,plausible,active,7,NA
301,plausible,passive,7,NA
307,implausible,active,1,NA
307,plausible,active,7,NA
307,plausible,passive,7,NA
309,implausible,active,1,NA
309,implausible,passive,1,NA
309,plausible,active,7,NA
309,plausible,passive,7,NA
315,implausible,active,1,NA
315,implausible,passive,3,NA
315,plausible,active,6,NA
321,implausible,active,1,NA
321,implausible,passive,1,NA
321,plausible,active,7,NA
321,plausible,passive,1,NA
323,implausible,passive,3,NA
323,plausible,active,7,NA
323,plausible,passive,7,NA
327,implausible,active,5,NA
327,implausible,passive,1,NA
327,plausible,active,7,NA
329,implausible,active,1,NA
329,implausible,passive,2,NA
329,plausible,active,7,NA
329,plausible,passive,4,NA
331,implausible,active,5,NA
331,implausible,passive,2,NA
331,plausible,active,7,NA
331,plausible,passive,7,NA
335,implausible,passive,2,NA
335,plausible,active,7,NA
335,plausible,passive,6,NA
337,implausible,active,1,NA
337,implausible,passive,1,NA
337,plausible,passive,7,NA
341,implausible,active,6,NA
341,implausible,passive,7,NA
341,plausible,active,7,NA
341,plausible,passive,7,NA
343,implausible,active,4,NA
343,implausible,passive,5,NA
343,plausible,active,7,NA
343,plausible,passive,7,NA
347,implausible,active,5,NA
347,plausible,active,7,NA
347,plausible,passive,3,NA
349,implausible,active,7,NA
349,implausible,passive,7,NA
349,plausible,active,7,NA
353,implausible,active,1,NA
353,implausible,passive,1,NA
353,plausible,active,7,NA
353,plausible,passive,6,NA
355,implausible,passive,5,NA
355,plausible,active,6,NA
355,plausible,passive,7,NA
357,implausible,active,5,NA
357,implausible,passive,2,NA
357,plausible,active,1,NA
357,plausible,passive,7,NA
359,implausible,active,1,NA
359,implausible,passive,1,NA
359,plausible,passive,2,NA
361,implausible,active,7,NA
361,implausible,passive,1,NA
361,plausible,active,6,NA
361,plausible,passive,7,NA
363,implausible,active,4,NA
363,plausible,active,7,NA
363,plausible,passive,7,NA
375,plausible,active,7,0
375,plausible,passive,5.5,0.7071067811865476
379,plausible,active,1.5,0.7071067811865476
379,plausible,passive,2,1.4142135623730951
383,plausible,active,6.5,0.7071067811865476
383,plausible,passive,4,4.242640687119285
387,plausible,active,5,2.8284271247461903
387,plausible,passive,6,NA
391,plausible,active,6,NA
391,plausible,passive,6.5,0.7071067811865476
395,plausible,active,6,NA
395,plausible,passive,6.5,0.7071067811865476
397,plausible,active,7,0
397,plausible,passive,3.5,3.5355339059327378
399,plausible,active,4,4.242640687119285
399,plausible,passive,6.5,0.7071067811865476
403,plausible,active,6,0
403,plausible,passive,7,NA
407,plausible,active,4,4.242640687119285
407,plausible,passive,7,0
409,plausible,active,6,1.4142135623730951
409,plausible,passive,6,NA
415,plausible,active,4.5,0.7071067811865476
415,plausible,passive,4,4.242640687119285
